TABLE_NAME,TABLE_ROWS
cus_Scheduler_1_Search_ZeroCountDays,16499117
DOCCONTB,12333894
cus_eStmt_StatementBatch_PatientAging,8107301
cus_eStmt_StatementBatch_PatientProcs,4901174
cus_eStmt_StatementBatch_PatientVisits,3652491
CasesAuthDoctor,2389002
AppointmentsAlloc,2170245
DmApptIdMapping,2159757
ARAggregates,1267011
_BadGuarantorCarrie,1266453
DmRIDMapping,1129607
cus_ProTrk_OrderHistory,1056459
ApptSlot,799357
cusCqrDataFix_OrphanDetailSdid,703736
cus_phone_validation,633597
aa_PPAlertNotes,578906
aa_PPAlertNotes2,567084
AA_PatientProfileAlertNotesBAK,535380
_1SipeBalances11092022,526241
CEM_EventQueue,431178
CQM_ValueSetCode,375422
cus_RDOC_DocumentsCreated,327488
DmPatientPidMapping,325945
DmPIDGuarantorMapping,299300
cus_FlwUp_CreatedInsurance,253980
cus_ArrivedAppointments,241843
CusSupportMikPatientVisitMonitor,212296
_Notes3,202404
Cus_EZP_Fax,169823
cus_SST_EligibilityProcessorCrosswalk,131064
DmPIDContactMapping,124924
CusSupportMikPatientVisitProcsMonitor,117117
Appointments,106300
cusCqrDataFix_PatientIDRequeued,105441
CasesInsurance,99663
cus_DocBat_DocumentQueue,87624
_facility,85978
cus_patientInsuranceFix,77562
cus_FlwUp_Notes,74814
_notes,62530
cus_BPP_PatientProfile,60359
cus_AutoCheckIn_Appointments,48415
_zipcodes,42735
DmPidMapping,41610
ALLERGY,41195
cus_FlwUp_FollowUp,36036
DiagnosisSpecialty,34442
cusqhcoarbalancesource,34372
cusQHCOBalFwd,34080
cusQHCOBalFwd_remap,34020
cus_Script,29425
BillingNote,27499
cus_orders_clincomments,25891
DDID_RXNORM,23130
CQM_Map,22344
cus_BPP_PatientProfile_back,22115
Cases,21168
_ApptFacilityConversion,20377
cus_DocBat_UserDocuBatchQueue,19912
cus_FlwUp_AutoCreateRule_History,19747
CusSupportPatientVisitProcsMonitor,18981
cus_eStmt_TempBal,18973
cus_RDOC_ProcessingPatient,17136
Batch,17056
cus_DocBat_DocuBatchFaxHistory,16837
cus_FlwUp_AutoCreateRule_Adj_History,16758
cus_dupRefProviderListNames,16524
cus_TMerge_2_MergeHistory,15344
cus_TMerge_2_IgnoreVisits,15015
aa_AlertNotesUpdateValidation,13903
cus_Scheduler_1_NextAppointmentHistory,13893
_guarantorMulti,12098
cus_guarantorLastFirstOrAddressNoMatch,11924
cus_FlwUp_AutoCreateRule_Adj_ReasonCodes,11764
_multiWithSameGuarantor,11658
_DateDimension,10058
+refprov2,9613
_refprov3,9594
"_Ref Phys Zips",9085
cusPatientLanguageMap,9040
_refprov1,8931
cus_FlwUp_AutoCreateRule_Providers,8139
_PatientInsuranceUpdate,7595
cus_APP_BatchItemApplied_SV,7431
cus_MFN_FaxRunRecipients,6929
cus_APP_BatchItems_SV,6890
cus_MFN_DocumentFaxQueue,6768
cus_FlwUp_VisitOwnerHistory,6333
cus_FlwUp_AutoCreateRule_InsuranceCarriers,5249
DmInsurancePlanMapping,4971
ApptSet,4689
ContentList,4671
AllergyFix,4601
ContentList_bak,4473
cus_FlwUp_AutoCreateRule_InsuranceGroups,3802
DmBusidMapping,3618
CQM_ValueSet,3471
cus_caseInsuranceMismatch,3379
cus_TMerge_2_VisitWorkList,2776
CUSTOMORDERS,2634
DmServProvIDMapping,2596
Cus_EZP_Predefined_Tags,2245
DmSqlMessage,2171
cus_FlwUp_AutoCreateRule_Adj_InsuranceCarriers,2141
cus_RVUC_Procedures,2066
cus_FlwUp_ReAssign_Manual_History,2009
DDIDUPDATE,1936
_PatientIDUpdate,1701
cus_FlwUp_AutoCreateRule_Facilities,1686
cus_MIKIDMAP_bak_20220221,1654
CasesAuth,1520
CasesAuthDetail,1520
table_sync_status,1419
table_sync_status_init,1345
cus_Scheduler_1_LimitRule_AType,1167
CasesPatientVisitFiling,1163
_SipeMarianIns,1144
Cus_EZP_Other_Settings,1115
cus_ordencinfo_bak_20220221,1081
ApptSearchCriteriaFacilities,1017
DmPVIDMapping,927
ApptSearchCriteriaResources,814
cus_patientContactsFix,787
cusqhco_dupepatientvisits12212021,699
customallergies_kbupd,690
cus_eStmt_StatementBatch,641
cus_MFN_FaxSchedule,634
cus_fixMikPatientVisitLock,621
Diagnosis,615
Diagnosis_bak,615
DiagCMSRembMap,614
cus_LoincExtractCounts,605
DFIds,556
ApptSearchCriteriaApptTypes,542
CUSTOMALLERGIES,481
cus_APP_BatchExceptions_SV,463
cusCqrDataFix_OrphanDetail,441
AppSession,409
Cus_EZP_Application_Settings,404
Cus_TEMP,404
ApptTypeLimits,395
CONVRATIO,389
cus_FlwUp_AutoCreateRule_Companies,354
cus_FlwUp_ClaimAdjustmentReasonCodes,290
Cus_EZP_FaxAddressBook,284
cus_APP_Batch_SV,266
Country,251
BillingReceipt,248
cus_RDoc_Schedule,222
cus_erxrefillrequestbak,217
CQM_Value_Set_Result_Codes,211
DmApptDefIdMapping,203
_sipebadguarantors,198
ApptTypeAssignments,178
DESKDOCVIEWS,149
CVX,142
cusLanguageMap,138
cus_LockedDocuments,137
cus_ArrivedAppointmentsCreateDoc,134
cusqhco_unmatched_12212021,134
Cus_EZP_ResetRequest,133
Cus_EZP_RegControls,125
cus_CpnsIndexOverlaps,117
CPTDEPT,113
Cus_EZP_EmailHistory,111
_marianPatientBadGuarantors,107
ApptSearchCriteria,107
cusCqrDataFix_OrphanDocumentRestored,104
DmBookScheduleMapping,102
DmLocIdFacilityMapping,102
cus_FlwUp_AutoCreateRule,100
cus_Scheduler_1_Search_ATypes,97
COVID_CONTENTLIST,96
Cus_EZP_Email_Settings,90
Cus_EZP_EligPracticeTypeCode,89
Cus_EZP_StatementSettings,89
CQM_NQF_Measures,85
cus_Scheduler_1_Search_Facilities,84
cus_DocBat_TempDocumentType,80
cus_DocBat_DefaultDocumentTypes,79
cus_RDOC_Configuration,79
cus_ACS_DebugMessages,72
CasesChargeSets,68
cus_rcopiaNullSyncBug,55
contentlist_20221104bak,51
cus_RVUC_History,48
Cus_EZP_ReminderSettings,47
cus_moreBadGuarantor,45
cus_FlwUp_AutoCreateRule_Adjudication,44
cus_Scheduler_1_LimitRule,44
cus_Scheduler_1_LimitRule_FClass,44
cus_Scheduler_1_LimitRule_Resource,44
DmEMRMedlistsMapping,40
BillingStatement,38
cus_fixStuckDocuments,37
ApptType,34
Cus_EZP_RPMDevice,33
DFFeeSchedule,33
ApptSearchCriteriaRules,30
CONFACCESS,29
Cus_EZP_Action_Tags,27
Cus_EZP_EligSearchOptions,22
_billstatus,20
DmRtidMapping,18
Cus_EZP_EMRSettings,17
cus_mergeDuplicateProviderZip,16
_2SipeApptTypeCrosswalk,15
DmJobTitleIDMapping,15
Cus_EZP_MedLists,13
Cus_EZP_RPMCategory,12
cus_orders_bak_20220221,12
Cus_EZP_Online_Forms_Questions,11
Cus_EZP_Reminder_Options,11
CONFTYPES,10
CareTransInMUFix,9
CEM_SubscriptionRunDate,9
cus_activeLockReport,9
DIRECTIV,9
CEM_SubscriptionType,8
Cus_EZP_EmailGroups,8
cus_docbat_debug,7
Cus_EZP_CustomText,7
cus_RefExp_RefundReasons,7
cus_SAI_ButtonConfig,7
AUCSTATUS,6
CEM_Subscription,6
ASSESS,5
ButtonControl,5
CARE_PLAN,5
Cus_EZP_AutoShareDoc_Settings,5
Cus_EZP_NewDocHistory,5
cus_FlwUp_ClaimAdjustmentGroupCodes,5
cus_MFN_LicenseProviderRoles,5
ApptChain,4
CARETEAMMEMBER,4
CEM_TriggerStatus,4
cus_AOP_AppointmentProvider,4
Cus_EZP_DocType,4
Cus_EZP_Users_SearchFilters,4
cus_ProTrk_ApprovedUsers,4
BatchStatement,3
cus_DocBat_FaxRecipientQueue,3
Cus_EZP_Message_ANTemplate,3
Cus_EZP_Phone_Settings,3
cus_FlwUp_FollowUpCategory,3
cus_RVUC_RVUSchedule,3
AADConfiguration,2
AppLocks,2
CDS_Parameters,2
Clearinghouse,2
cus_WebCal_SearchDefault,2
_badgutmp,1
_mytemp,1
ACTIVEMQ_LOCK,1
AllocationSet,1
AllocationSetRange,1
CarePlan_Problem,1
ComponentSensitiveReport,1
CriticalErrorSymbol,1
cus_DocBat_Configuration,1
cus_doctorfacility_bak_20220403,1
Cus_EZP_BlockList,1
Cus_EZP_Online_Forms_Groups,1
Cus_EZP_SMPrvDocType,1
cus_fixAppendDocuments,1
cus_FlwUp_AutoCreateRule_Adj_InsuranceGroups,1
cus_guarantor0615,1
cus_guarantorBak_0630,1
cus_MFL_Configuration,1
cus_MFL_LicenseDocumentTypes,1
cus_MFL_LicenseProviderRoles,1
cus_MFN_Configuration,1
cus_MFN_FaxRecipientsPatient,1
cus_MFN_LicenseDocumentTypes,1
cus_PatientContactsBak0531,1
cus_patientProfileBak_0630,1
cus_PatientRelationshipBak0531,1
cus_phone_validation_data,1
cusCqrDataFix_OrphanUsrRestored,1
cusCqrDataFix_ZUF,1
DmBookDoctorFacilityMapping,1
ACTIVEMQ_MSGS,0
brandyTrace,0
CasesAttachment,0
Cus_EZP_EmailHistory_Attachments,0
Cus_EZP_Users,0
